Chain,Location Number,Location ID,State/ Province,Latitude,Longitude
Home Depot,669,Home Depot0669,CA,32.986023,-117.075364
Home Depot,671,Home Depot0671,CA,32.586348,-117.091672
Home Depot,673,Home Depot0673,CA,32.841249,-116.984928
Home Depot,674,Home Depot0674,CA,32.753794,-117.212863
Home Depot,679,Home Depot0679,CA,33.182983,-117.299987
Home Depot,680,Home Depot0680,CA,32.822042,-117.181955
Home Depot,683,Home Depot0683,CA,34.133896,-117.306596
Home Depot,684,Home Depot0684,CA,33.918382,-118.010994
Home Depot,687,Home Depot0687,CA,34.090976,-117.670038
Home Depot,689,Home Depot0689,CA,34.000072,-118.081193
Home Depot,1001,Home Depot1001,CA,37.5191,-120.878171
Home Depot,1002,Home Depot1002,CA,33.989182,-118.214067
Home Depot,1003,Home Depot1003,CA,38.482858,-121.502935
Home Depot,1005,Home Depot1005,CA,33.764869,-118.2947
Home Depot,1006,Home Depot1006,CA,37.794634,-121.192198
Home Depot,1007,Home Depot1007,CA,37.768158,-122.223604
Home Depot,1009,Home Depot1009,CA,37.263206,-121.920732
Home Depot,1010,Home Depot1010,CA,33.947975,-118.330944
Home Depot,1012,Home Depot1012,CA,34.218073,-119.07783
Home Depot,1013,Home Depot1013,CA,34.068327,-117.197836
Home Depot,1014,Home Depot1014,CA,36.857227,-119.759976
Home Depot,1017,Home Depot1017,CA,37.660665,-122.115166
Home Depot,1018,Home Depot1018,CA,33.250155,-117.26543
Home Depot,1019,Home Depot1019,CA,39.143395,-121.650357
Home Depot,1020,Home Depot1020,CA,37.756552,-121.466298
Home Depot,1022,Home Depot1022,CA,37.986525,-121.34601
Home Depot,1028,Home Depot1028,CA,33.481445,-117.097413
Home Depot,1030,Home Depot1030,CA,32.633172,-116.968905
Home Depot,1031,Home Depot1031,CA,35.526437,-120.700801
Home Depot,1032,Home Depot1032,CA,32.702254,-117.101177
Home Depot,1034,Home Depot1034,CA,32.576592,-117.036714
Home Depot,1037,Home Depot1037,CA,33.888183,-118.185235
Home Depot,1039,Home Depot1039,CA,33.987546,-118.312129
Home Depot,1040,Home Depot1040,CA,34.235249,-119.178253
Home Depot,1041,Home Depot1041,CA,37.41559,-121.901207
Home Depot,1043,Home Depot1043,CA,38.374792,-121.948439
Home Depot,1044,Home Depot1044,CA,38.009562,-122.26775
Home Depot,1048,Home Depot1048,CA,34.056402,-118.270805
Home Depot,1050,Home Depot1050,CA,35.351561,-119.05763
Home Depot,1052,Home Depot1052,CA,35.250488,-120.689145
Home Depot,1053,Home Depot1053,CA,33.129269,-117.061275
Home Depot,1055,Home Depot1055,CA,34.441095,-118.574233
Home Depot,1059,Home Depot1059,CA,32.770709,-115.534922
Home Depot,1060,Home Depot1060,CA,35.39273,-118.964128
Home Depot,1061,Home Depot1061,CA,33.988809,-118.36459
Home Depot,1062,Home Depot1062,CA,33.812951,-118.183424
Home Depot,1064,Home Depot1064,CA,35.385224,-119.099487
Home Depot,1068,Home Depot1068,CA,38.674996,-121.736325
Home Depot,1069,Home Depot1069,CA,36.930366,-121.777082
Home Depot,1070,Home Depot1070,CA,34.189213,-118.62684
Home Depot,1072,Home Depot1072,CA,33.912848,-117.869227
Home Depot,1073,Home Depot1073,CA,36.329615,-119.671485
Home Depot,1074,Home Depot1074,CA,33.140547,-117.242767
Home Depot,1076,Home Depot1076,CA,37.959636,-121.746027
Home Depot,1077,Home Depot1077,CA,33.564687,-117.70917
Home Depot,1080,Home Depot1080,CA,36.052742,-119.024178
Home Depot,1083,Home Depot1083,CA,34.133538,-117.62961
Home Depot,1084,Home Depot1084,CA,33.977973,-117.556578
Home Depot,1085,Home Depot1085,CA,38.731157,-120.824582
Home Depot,1086,Home Depot1086,CA,36.733641,-119.734105
Home Depot,1087,Home Depot1087,CA,33.889677,-117.227444
Home Depot,1088,Home Depot1088,CA,36.98041,-120.085127
Home Depot,1089,Home Depot1089,CA,35.630855,-117.671023
Home Depot,1092,Home Depot1092,CA,37.698406,-122.483429
Home Depot,1379,Home Depot1379,CA,38.470968,-122.721526
Home Depot,1380,Home Depot1380,CA,37.995637,-122.106901
Home Depot,1840,Home Depot1840,CA,33.617782,-117.70576
Home Depot,1842,Home Depot1842,CA,37.712875,-120.950399
Home Depot,1843,Home Depot1843,CA,36.70405,-121.666773
Home Depot,1844,Home Depot1844,CA,34.563973,-117.349896
Home Depot,1845,Home Depot1845,CA,34.086808,-117.909549
Home Depot,1846,Home Depot1846,CA,38.590387,-121.546854
Home Depot,1848,Home Depot1848,CA,32.809054,-116.964513
Home Depot,1857,Home Depot1857,CA,34.054811,-117.43732
Home Depot,1858,Home Depot1858,CA,33.879469,-118.221893
Home Depot,1861,Home Depot1861,CA,37.302324,-121.860048
Verizon Wireless,636,Verizon Wireless00636,CA,37.792235,-122.39959
Verizon Wireless,638,Verizon Wireless00638,CA,37.786755,-122.422493
Verizon Wireless,639,Verizon Wireless00639,CA,37.562152,-122.282049
Verizon Wireless,643,Verizon Wireless00643,CA,37.59746,-122.38611
Verizon Wireless,653,Verizon Wireless00653,CA,38.442204,-122.708977
Verizon Wireless,655,Verizon Wireless00655,CA,37.895235,-122.061169
Verizon Wireless,656,Verizon Wireless00656,CA,39.727489,-121.803658
Verizon Wireless,657,Verizon Wireless00657,CA,38.423578,-121.41765
Verizon Wireless,661,Verizon Wireless00661,CA,40.586076,-122.35622
Verizon Wireless,662,Verizon Wireless00662,CA,38.005516,-121.318886
Verizon Wireless,678,Verizon Wireless00678,CA,33.910233,-117.866745
Verizon Wireless,680,Verizon Wireless00680,CA,34.216275,-119.074198
Verizon Wireless,681,Verizon Wireless00681,CA,33.176752,-117.339123
Verizon Wireless,709,Verizon Wireless00709,CA,32.97953,-117.082261
Verizon Wireless,712,Verizon Wireless00712,CA,32.631229,-117.089188
Verizon Wireless,713,Verizon Wireless00713,CA,32.651314,-117.094864
Verizon Wireless,720,Verizon Wireless00720,CA,34.001337,-118.394745
Verizon Wireless,722,Verizon Wireless00722,CA,32.980554,-117.249543
Verizon Wireless,723,Verizon Wireless00723,CA,32.819953,-116.962256
Verizon Wireless,744,Verizon Wireless00744,CA,36.811905,-119.791649
Verizon Wireless,750,Verizon Wireless00750,CA,35.369202,-119.038063
Verizon Wireless,776,Verizon Wireless00776,CA,34.069962,-117.438225
Verizon Wireless,778,Verizon Wireless00778,CA,33.855147,-117.924135
Verizon Wireless,779,Verizon Wireless00779,CA,36.97171,-121.964424
Verizon Wireless,780,Verizon Wireless00780,CA,36.839008,-121.395927
Verizon Wireless,783,Verizon Wireless00783,CA,34.145538,-118.259697
Verizon Wireless,785,Verizon Wireless00785,CA,33.901707,-118.366538
Verizon Wireless,786,Verizon Wireless00786,CA,35.283657,-120.663353
Verizon Wireless,788,Verizon Wireless00788,CA,36.619742,-121.845369
Verizon Wireless,790,Verizon Wireless00790,CA,34.440651,-119.727592
Verizon Wireless,794,Verizon Wireless00794,CA,33.98143,-118.224739
Verizon Wireless,795,Verizon Wireless00795,CA,33.671298,-117.845453
Verizon Wireless,799,Verizon Wireless00799,CA,34.061709,-118.299448
Verizon Wireless,801,Verizon Wireless00801,CA,33.917428,-117.962513
Verizon Wireless,803,Verizon Wireless00803,CA,32.779844,-117.009648
Verizon Wireless,805,Verizon Wireless00805,CA,38.772609,-121.265576
Verizon Wireless,811,Verizon Wireless00811,CA,33.808654,-118.125127
Verizon Wireless,813,Verizon Wireless00813,CA,33.689968,-117.892914
